doc_id,doc_name
23647,HistoryOfJerusalem
23692,HistoryOfGreece
25398,chapter1_911report
23758,WhatToHongKong
23791,110CYL067
23811,112C-L013
23792,110CYL068
23757,IntroHongKong
23652,IntroOfDublin
23691,HistoryOfLasVegas
23642,StephanopoulosCrimes
23771,WhereToHongKong
23801,110CYL072
23754,IntroJamaica
23803,110CYL200
23936,journal_christine
23794,110CYL069
23714,602CZL285-1
23703,20000415_apw_eng-NEW
23732,IZ-060316-01-Trans-1
23711,20000419_apw_eng-NEW
23743,AFGP-2002-602187-Trans
23724,enron-thread-159550
23722,wsj_2465
23719,ENRON-pearson-email-25jul02
23716,artb_004_A1_E2_NEW
23702,20000416_xin_eng-NEW
23731,sw2025-ms98-a-trans.ascii-1-NEW
23728,SNO-525
23727,wsj_1640.mrg-NEW
23701,20000410_nyt-NEW
23736,AFGP-2002-600002-Trans
23501,Kazakhstan
23512,Iran_Missile
23514,Iran_Chemical
23565,Taiwan_Introduction
23513,Iran_Biological
23561,NorthKorea_NuclearCapabilities
23521,Iran_Introduction
23511,Iran_Nuclear
23481,NorthKorea_Introduction
23631,Syria_NuclearOverview
23602,BWTutorial_chapter1
23563,Russia_Introduction
23611,NorthKorea_ChemicalOverview
23683,workAdvances
23671,ChinaOverview
25739,oven.n
25618,Fires_3
25617,Fires_2
25738,extent.n
25620,Fires_5
25737,someone.n
25622,Fires_7
25616,Fires_1
25621,Fires_6
25733,invoice.n
25619,Fires_4
25734,boutique.n
25735,acquisition.n
25625,Fires_10
25623,Fires_8
25624,Fires_9
23580,MIT
23574,lcch
23575,parc
23576,Stanford
23578,LCC-M
23581,cycorp
23577,atm
23579,utd-icsi
23573,Brandeis
25343,Tiger_Of_San_Pedro
7,Orwell_1984_p1
23551,SadatAssassination
23541,IranRelatedQuestions
6,Pickett
23532,SemAnno_1
23832,Hound-Ch14
23841,tradeBalance020417
25743,Examples4-5
23010,ElectionVictory
23013,LomaPrieta
23019,AetnaLifeAndCasualty
23011,PolemicProgressiveEducation
23009,BellRinging
23712,20000420_xin_eng-NEW
23571,SouthAfrica_Introduction
23733,CNN_AARONBROWN_ENG_20051101_215800.partial-NEW
23740,AFGP-2002-600045-Trans
23012,TicketSplitting
23592,Hijack
23715,artb_004_A1_E1_NEW
23605,WMDNews_042106
23491,C-4Text
23646,EntrepreneurAsMadonna
23477,LibyaCountry1
23562,NorthKorea_NuclearOverview
23713,20000424_nyt-NEW
23621,WMDNews_062606
23795,110CYL070
23726,CNN_ENG_20030614_173123.4-NEW-1